,Title,Available Globally?,Release Date,Hours Viewed
1111,Trollhunters: Rise of the Titans,Yes,2021-07-21,8.600.000
1112,Young Royals: Season 1,Yes,2021-07-01,8.600.000
1113,Away: Season 1,Yes,2020-09-04,8.500.000
1114,Community: Season 5,Yes,,8.500.000
1115,Making Fun: Season 1,Yes,2022-03-04,8.500.000
1116,Mighty Little Bheem: Season 3,Yes,2020-09-25,8.500.000
1117,Mo: Season 1,Yes,2022-08-24,8.500.000
1118,My Country: The New Age: Season 1 // __ __: __ 1,Yes,2019-10-04,8.500.000
1119,Night Teeth,Yes,2021-10-20,8.500.000
1120,Sand Castle,Yes,2017-04-21,8.500.000
1121,Smiley: Season 1,Yes,2022-12-07,8.500.000
1122,Stranger: Season 2 // ___ _: __ 2,Yes,2020-08-15,8.500.000
1123,The Christmas Chronicles: Part Two,Yes,2020-11-25,8.500.000
1124,The Devil All The Time,Yes,2020-09-16,8.500.000
1125,The Worst Witch: Season 3,Yes,2019-07-26,8.500.000
1126,Aftershock: Everest and the Nepal Earthquake: Limited Series,Yes,2022-10-06,8.400.000
1127,Archive 81: Season 1,Yes,2022-01-14,8.400.000
1128,Community: Season 6,Yes,,8.400.000
1129,Family Secrets: Season 1 // Gry rodzinne: Sezon 1,Yes,2022-08-31,8.400.000
1130,"Love, Death & Robots: Volume 3",Yes,2022-05-20,8.400.000
1131,My Little Pony: Make Your Mark: Chapter 4,Yes,2023-06-06,8.400.000
1132,No Limit // Sous emprise,Yes,2022-09-09,8.400.000
1133,Pup Academy: Season 2,Yes,2020-10-12,8.400.000
1134,Queer Eye: Season 6,Yes,2021-12-31,8.400.000
1135,Santo: Season 1,Yes,2022-09-16,8.400.000
1136,Trailer Park Boys: Season 5,Yes,2010-09-22,8.400.000
1137,Van Helsing: Season 2,Yes,2018-01-19,8.400.000
1138,Bert Kreischer: Razzle Dazzle,Yes,2023-03-14,8.300.000
1139,Blood & Water: Season 2,Yes,2021-09-24,8.300.000
1140,Hellbound: Season 1 // __: __ 1,Yes,2021-11-19,8.300.000
1141,Marcella: Season 1,Yes,2016-07-01,8.300.000
1142,One Day at a Time: Season 1,Yes,2017-01-06,8.300.000
1143,Outlaw King,Yes,2018-11-09,8.300.000
1144,Resort to Love,Yes,2021-07-29,8.300.000
1145,Richie Rich: Season 1,Yes,2015-02-20,8.300.000
1146,The Midnight Sky,Yes,2020-12-23,8.300.000
1147,Welcome to Waikiki // ____ ____,Yes,,8.300.000
1148,Bread Barbershop: Season 2,Yes,,8.200.000
1149,Holy Family: Season 1 // Sagrada familia: Season 1,Yes,2022-10-14,8.200.000
1150,Killer Sally: Limited Series,Yes,2022-11-02,8.200.000
1151,Life After Death with Tyler Henry: Season 1,Yes,2022-03-11,8.200.000
1152,Longest Third Date,Yes,2023-04-18,8.200.000
1153,Lost Bullet // Balle perdue,Yes,2020-06-19,8.200.000
1154,Mr. Iglesias: Part 1,Yes,2019-06-21,8.200.000
1155,Savage Beauty: Season 1,Yes,2022-05-12,8.200.000
1156,The Ranch: Part 7,Yes,2019-09-13,8.200.000
1157,The Starling,Yes,2021-09-24,8.200.000
1158,Wave Makers: Season 1 // ____Ñ___: _ 1 _ // ________: _ 1 _,Yes,2023-04-28,8.200.000
1159,We Lost Our Human,Yes,2023-03-21,8.200.000
1160,When the Camellia Blooms: Season 1 // ___ _ __: __ 1,Yes,2019-09-18,8.200.000
1161,White Lines: Season 1,Yes,2020-05-15,8.200.000
1162,Floor Is Lava: Season 1,Yes,2020-06-19,8.100.000
1163,"Game Over, Man!",Yes,2018-03-23,8.100.000
1164,Human Playground: Season 1,Yes,2022-09-30,8.100.000
1165,Like Father,Yes,2018-08-03,8.100.000
1166,MerPeople: Limited Series,Yes,2023-05-23,8.100.000
1167,No One Gets Out Alive,Yes,2021-09-29,8.100.000
1168,The Haunted House: Season 1 // _____: _____ __,Yes,,8.100.000
1169,The Mess You Leave Behind: Limited Series // El desorden que dejas: Miniserie,Yes,2020-12-11,8.100.000
1170,The Soccer Football Movie,Yes,2022-11-09,8.100.000
1171,Toscana,Yes,2022-05-18,8.100.000
1172,"Blood, Sex & Royalty: Season 1",Yes,2022-11-23,8.000.000
1173,Chicago Party Aunt: Part 2,Yes,2022-12-30,8.000.000
1174,Conversations with a Killer: The John Wayne Gacy Tapes: Limited Series,Yes,2022-04-20,8.000.000
1175,Copenhagen Cowboy: Season 1,Yes,2023-01-05,8.000.000
1176,DELETE: Season 1,Yes,2023-06-28,8.000.000
1177,Otherhood,Yes,2019-08-02,8.000.000
1178,Quicksand: Limited Series // Strst av allt: Miniserie,Yes,2019-04-05,8.000.000
1179,Restless // Sans rpit,Yes,2022-02-25,8.000.000
1180,Secret Obsession,Yes,2019-07-18,8.000.000
1181,The End of the F***ing World: Season 1,Yes,2018-01-05,8.000.000
1182,The I-Land: Limited Series,Yes,2019-09-12,8.000.000
1183,The Last Kids on Earth: Book 3,Yes,2020-10-16,8.000.000
1184,Trash Truck: Season 1,Yes,2020-11-10,8.000.000
1185,"Web of Make Believe: Death, Lies and the Internet: Season 1",Yes,2022-06-15,8.000.000
1186,Collateral: Limited Series,Yes,2018-03-09,7.900.000
1187,EDENS ZERO: Season 1,Yes,2021-04-10,7.900.000
1188,Extinction,Yes,2018-07-27,7.900.000
1189,Greenhouse Academy: Season 1,Yes,2017-09-08,7.900.000
1190,In Good Hands // Sen Ya_amaya Bak,Yes,2022-03-21,7.900.000
1191,Into the Night: Season 1,Yes,2020-05-01,7.900.000
1192,The Girl in the Mirror: Season 1 // Alma: Temporada 1,Yes,2022-08-19,7.900.000
1193,The Most Beautiful Flower: Season 1 // La flor ms bella: Season 1,Yes,2022-12-07,7.900.000
1194,The Ranch: Part 8,Yes,2020-01-24,7.900.000
1195,The Silent Sea: Season 1 // ___ __: __ 1,Yes,2021-12-24,7.900.000
1196,Always Be My Maybe,Yes,2019-05-31,7.800.000
1197,BoJack Horseman: Season 5,Yes,2018-09-14,7.800.000
1198,Fear Street Part 1: 1994,Yes,2021-07-02,7.800.000
1199,Hellhole // Ostatnia wieczerza,Yes,2022-10-26,7.800.000
1200,Mixed by Erry,Yes,2023-05-31,7.800.000
1201,Revolutionary Love: Season 1 // ___ __: __1,Yes,,7.800.000
1202,Teenage Bounty Hunters: Season 1,Yes,2020-08-14,7.800.000
1203,The Main Event,Yes,2020-04-10,7.800.000
1204,Yara,Yes,2021-11-05,7.800.000
1205,Young Royals: Season 2,Yes,2022-11-01,7.800.000
1206,Afterlife of the Party,Yes,2021-09-02,7.700.000
1207,Brainchild: Season 1,Yes,2018-11-02,7.700.000
1208,Country Comfort: Season 1,Yes,2021-03-19,7.700.000
1209,Go Karts,Yes,2020-03-13,7.700.000
1210,KENGAN ASHURA: Part l // ________: ____1: ___I,Yes,2019-07-31,7.700.000
1211,Making a Murderer: Part 1,Yes,2015-12-18,7.700.000
1212,My Shy Boss: Season 1 // ____ __: __1,Yes,,7.700.000
1213,School of Chocolate: Season 1,Yes,2021-11-26,7.700.000
1214,Sense8: Season 2,Yes,2016-12-23,7.700.000
1215,Spiderhead,Yes,2022-06-17,7.700.000
1216,The Circle: Season 1,Yes,2020-01-01,7.700.000
1217,The Worst Witch: Season 4,Yes,2020-10-01,7.700.000
1218,Trailer Park Boys: Season 8,Yes,2014-09-04,7.700.000
1219,Unsolved Mysteries: Volume 2,Yes,2020-10-19,7.700.000
1220,World's Most Wanted: Season 1,Yes,2020-08-05,7.700.000
1221,A Series of Unfortunate Events: Season 3,Yes,2019-01-01,7.600.000
1222,Chambers: Season 1,Yes,2019-04-26,7.600.000
1223,Floor Is Lava: Season 2,Yes,2022-06-03,7.600.000
1224,Girlboss: Season 1,Yes,2017-04-21,7.600.000
1225,In the Tall Grass,Yes,2019-10-04,7.600.000
1226,Indian Matchmaking: Season 1,Yes,2020-07-16,7.600.000
1227,Katla: Season 1,Yes,2021-06-17,7.600.000
1228,Monarca: Season 1,Yes,2019-09-13,7.600.000
1229,Pirate Gold of Adak Island: Season 1,Yes,2022-06-29,7.600.000
1230,Royalteen // Royalteen: Arvingen,Yes,2022-08-17,7.600.000
1231,Selling Sunset: Season 4,Yes,2021-11-24,7.600.000
1232,Selling The OC: Season 1,Yes,2022-08-24,7.600.000
1233,Surviving Death: Limited Series,Yes,2021-01-06,7.600.000
1234,The Babysitter,Yes,2017-10-13,7.600.000
1235,The Hidden Lives of Pets: Season 1,Yes,2022-06-22,7.600.000
1236,The Valhalla Murders: Season 1 // Brot: Sera eitt,Yes,2020-03-13,7.600.000
1237,Uncoupled: Season 1,Yes,2022-07-29,7.600.000
1238,All Hail King Julien: Exiled: Season 1,Yes,2017-05-12,7.500.000
1239,"Good Morning, Vernica: Season 1 // Bom Dia, Vernica: Temporada 1",Yes,2020-10-01,7.500.000
1240,Law School: Season 1 // ___: __ 1,Yes,2021-04-14,7.500.000
1241,My Magic Pet Morphle: Season 3,Yes,,7.500.000
1242,Roman Empire: Commodus: Reign of Blood,Yes,2016-11-11,7.500.000
1243,Spirit Riding Free: Riding Academy: Part 1,Yes,2020-04-03,7.500.000
1244,Suburra: Blood on Rome: Season 1 // Suburra: La serie: Stagione 1,Yes,2017-10-06,7.500.000
1245,The Rational Life: Season 1 // _____: _ 1 _,Yes,2021-06-18,7.500.000
1246,Trailer Park Boys: Season 7,Yes,2011-03-01,7.500.000
1247,Van Helsing: Season 3,Yes,2019-02-25,7.500.000
1248,Below Zero // Bajocero,Yes,2021-01-29,7.400.000
1249,Cargo,Yes,2018-05-18,7.400.000
1250,CAT: Season 1,Yes,2022-12-09,7.400.000
1251,Disconnect: The Wedding Planner,Yes,2023-01-13,7.400.000
1252,Girls Incarcerated: Season 2,Yes,2019-06-21,7.400.000
1253,Green Mothers' Club: Season 1 // _______: __ 1,Yes,2022-04-06,7.400.000
1254,Green Snake // __ 2_____,Yes,2021-12-01,7.400.000
1255,Nobody Sleeps in the Woods Tonight // W lesie dzi_ nie za_nie nikt,Yes,2020-03-20,7.400.000
1256,Octonauts & the Ring of Fire,Yes,2021-03-30,7.400.000
1257,Santa Clarita Diet: Season 2,Yes,2018-03-23,7.400.000
1258,Selena: The Series: Part 1,Yes,2020-12-04,7.400.000
1259,Skull Island: Season 1,Yes,2023-06-22,7.400.000
1260,The A List: Season 1,Yes,2019-08-30,7.400.000
1261,The Beast // La Belva,Yes,2020-11-27,7.400.000
1262,The Boss Baby: Get That Baby!,Yes,2020-09-01,7.400.000
1263,This World Can't Tear Me Down: Season 1 // Questo mondo non mi render cattivo: Stagione 1,Yes,2023-06-09,7.400.000
1264,Under Fire: Season 1 // Onder Vuur: Seizoen 1,Yes,2022-08-24,7.400.000
1265,Altered Carbon: Season 2,Yes,2020-02-27,7.300.000
1266,Always a Witch: Season 1 // Siempre bruja: Temporada 1,Yes,2019-02-01,7.300.000
1267,American Murder: The Family Next Door,Yes,2020-09-30,7.300.000
1268,Capitani: Season 1,Yes,2021-02-11,7.300.000
1269,Everything Calls for Salvation: Season 1 // Tutto chiede salvezza: Season 1,Yes,2022-10-14,7.300.000
1270,Indian Matchmaking: Season 2,Yes,2022-08-10,7.300.000
1271,Kakegurui // _____,Yes,2017-07-01,7.300.000
1272,Living with Yourself: Season 1,Yes,2019-10-18,7.300.000
1273,Love Hard,Yes,2021-11-05,7.300.000
1274,Malibu Rescue: The Series: Season 1,Yes,2019-06-03,7.300.000
1275,Oggy Oggy: Season 1,Yes,2021-08-24,7.300.000
1276,Spectral,Yes,2016-12-09,7.300.000
1277,The Protector: Season 3 // Hakan: Muhafõz: 3. Sezon,Yes,2020-03-06,7.300.000
1278,When They See Us: Limited Series,Yes,2019-05-31,7.300.000
1279,Working: What We Do All Day: Limited Series,Yes,2023-05-17,7.300.000
1280,All Hail King Julien: Season 2,Yes,2015-10-16,7.200.000
1281,Bruised,Yes,2021-11-24,7.200.000
1282,Capturing the Killer Nurse,Yes,2022-11-11,7.200.000
1283,Cowboy Bebop: Season 1,Yes,2021-11-19,7.200.000
1284,Dive Club: Season 1,Yes,2021-09-03,7.200.000
1285,Fatal Affair,Yes,2020-07-16,7.200.000
1286,Inside the WorldÕs Toughest Prisons: Season 6,Yes,2022-09-28,7.200.000
1287,Jackass 4.5,Yes,,7.200.000
1288,No Good Nick: Part 1,Yes,2019-04-15,7.200.000
1289,Rich in Love // Ricos de Amor,Yes,2020-04-30,7.200.000
1290,The Girls at the Back: Season 1 // Las de la ltima fila: Season 1,Yes,2022-09-23,7.200.000
1291,The Light in Your Eyes: Season 1 // __ ___: __ 1,Yes,,7.200.000
1292,The Pirates: The Last Royal Treasure // __: ___ __,Yes,2022-03-02,7.200.000
1293,The Secret of the Greco Family: Season 1 // El secreto de la familia Greco: Season 1,Yes,,7.200.000
1294,True and the Rainbow Kingdom: Wild Wild Yetis,Yes,2019-08-30,7.200.000
1295,True: Wonderful Wishes: Season 1,Yes,2018-06-15,7.200.000
1296,Who Killed Sara?: Season 2 // ÀQuin mat a Sara?: Temporada 2,Yes,2021-05-19,7.200.000
1297,Who's a Good Boy? // El Guau,Yes,2022-11-23,7.200.000
1298,Another Miss Oh: Season 1 // _! ___: __ 1,Yes,,7.100.000
1299,Big Timber: Season 2,Yes,2022-07-13,7.100.000
1300,Blippi Wonders: Season 2,Yes,,7.100.000
1301,Car Masters: Rust to Riches: Season 1,Yes,2018-09-14,7.100.000
1302,Cathedral of the Sea: Season 1 // La catedral del mar: Temporada 1,Yes,2018-08-31,7.100.000
1303,Clark: Limited Series,Yes,2022-05-05,7.100.000
1304,Fakes: Season 1,Yes,2022-09-02,7.100.000
1305,Inside the Mind of a Cat,Yes,2022-08-18,7.100.000
1306,KENGAN ASHURA: Part ll // ________: ____1: ___II,Yes,2019-10-31,7.100.000
1307,Oggy Oggy: Season 2,Yes,2023-04-17,7.100.000
1308,Selling Sunset: Season 2,Yes,2020-05-22,7.100.000
1309,The Dirt,Yes,2019-03-22,7.100.000
1310,The Elephant Whisperers,Yes,2022-12-08,7.100.000
1311,This Little Love of Mine,Yes,,7.100.000
1312,"Was It Love?: Season 1 // __, _____: __ 1",Yes,2020-07-08,7.100.000
1313,Another Life: Season 2,Yes,2021-10-14,7.000.000
1314,Dangerous Lies,Yes,2020-04-30,7.000.000
1315,Friends from College: Season 1,Yes,2017-07-14,7.000.000
1316,I AM A KILLER: Season 3,Yes,2022-08-30,7.000.000
1317,Kotaro Lives Alone: Season 1 // _____1____: ____1,Yes,2022-03-10,7.000.000
1318,My First First Love: Season 2 // ____ _____: __ 2,Yes,2019-07-26,7.000.000
1319,Night on Earth: Limited Series,Yes,2020-01-29,7.000.000
1320,Space Force: Season 1,Yes,2020-05-29,7.000.000
1321,The Christmas Chronicles,Yes,2018-11-22,7.000.000
1322,The Final Table: Season 1,Yes,2018-11-20,7.000.000
1323,The Last Thing He Wanted,Yes,2020-02-21,7.000.000
1324,The Red Sea Diving Resort,Yes,2019-07-31,7.000.000
1325,The Trials of Gabriel Fernandez: Limited Series,Yes,2020-02-26,7.000.000
1326,Van Helsing: Season 4,Yes,2020-02-08,7.000.000
1327,22 July,Yes,2018-10-10,6.900.000
1328,Buy My House: Season 1,Yes,2022-09-02,6.900.000
1329,Falling for Christmas,Yes,2022-11-10,6.900.000
1330,Fishbowl Wives: Season 1 // ___: ____1,Yes,2022-02-14,6.900.000
1331,Knightfall: Season 2,Yes,,6.900.000
1332,My Unorthodox Life: Season 2,Yes,2022-12-02,6.900.000
1333,Old People,Yes,2022-10-07,6.900.000
1334,One Day at a Time: Season 2,Yes,2018-01-26,6.900.000
1335,The Redeem Team,Yes,2022-10-07,6.900.000
1336,THE UNLISTED: Season 1,Yes,2019-10-17,6.900.000
1337,Trolls: The Beat Goes On!: Season 8,Yes,2019-11-22,6.900.000
1338,Van Helsing: Season 5,Yes,2021-07-16,6.900.000
1339,3%: Season 1,Yes,2016-11-24,6.800.000
1340,Booba: Season 2 (Part 2),Yes,,6.800.000
1341,Borgen: Season 1,Yes,,6.800.000
1342,Cable Girls: Season 2 // Las chicas del cable: Temporada 2,Yes,2017-12-25,6.800.000
1343,Framed! A Sicilian Murder Mystery: Season 2 // Incastrati: Season 2,Yes,2023-03-02,6.800.000
1344,Grand Army: Season 1,Yes,2020-10-16,6.800.000
1345,Green Eggs and Ham: Season 2: The Second Serving,Yes,2022-04-08,6.800.000
1346,HELL DOGS - IN THE HOUSE OF BAMBOO - // ______,Yes,2022-12-16,6.800.000
1347,Kim's Convenience: Season 1,Yes,,6.800.000
1348,Paradise PD: Part 2,Yes,2020-03-06,6.800.000
1349,Paranoid: Season 1,Yes,2016-11-17,6.800.000
1350,Santa Clarita Diet: Season 3,Yes,2019-03-29,6.800.000
1351,Secrets of Summer: Season 1 // Cielo Grande: Temporada 1,Yes,2022-02-16,6.800.000
1352,Stutz,Yes,2022-11-14,6.800.000
1353,The Gift: Season 1 // Atiye: 1. Sezon,Yes,2019-12-27,6.800.000
1354,Trailer Park Boys: Season 3,Yes,2010-09-22,6.800.000
1355,Trailer Park Boys: Season 4,Yes,2010-09-22,6.800.000
1356,Word Party: Season 5,Yes,2021-03-02,6.800.000
1357,Father of the Year,Yes,2018-07-20,6.700.000
1358,Girl in the Picture,Yes,2022-07-06,6.700.000
1359,Hitler's Circle of Evil: Season 1,Yes,,6.700.000
1360,Kingdom: Season 2 // __: __ 2,Yes,2020-03-13,6.700.000
1361,Naked,Yes,2017-08-11,6.700.000
1362,Spirit Riding Free: Riding Academy: Part 2,Yes,2020-09-04,6.700.000
1363,Super Monsters: Season 1,Yes,2017-10-13,6.700.000
1364,The Crowned Clown // __ _ __,Yes,,6.700.000
1365,The Outsider,Yes,2018-03-09,6.700.000
1366,Undercover: Season 2,Yes,2020-09-06,6.700.000
1367,Emily's Wonder Lab: Season 1,Yes,2020-08-25,6.600.000
1368,Frontier: Season 2,Yes,2017-11-24,6.600.000
1369,I AM A KILLER: Season 1,Yes,2018-08-03,6.600.000
1370,Love Tactics // A_k Taktikleri,Yes,2022-02-11,6.600.000
1371,Snabba Cash: Season 1,Yes,2021-04-07,6.600.000
1372,The Green Glove Gang: Season 1 // Gang Zielonej R_kawiczki: Sezon 1,Yes,2022-10-19,6.600.000
1373,You've Got This // Ah te encargo,Yes,2020-10-02,6.600.000
1374,A Jazzman's Blues,Yes,2022-09-23,6.500.000
1375,Castlevania: Season 2,Yes,2018-10-26,6.500.000
1376,Cheat: Season 1,Yes,2023-03-01,6.500.000
1377,Control Z: Season 2,Yes,2021-08-04,6.500.000
1378,Cowboy Bebop: Season 1 // _________: ____1,Yes,,6.500.000
1379,F is for Family: Season 2,Yes,2017-05-30,6.500.000
1380,Hypnotic,Yes,2021-10-27,6.500.000
1381,Monsters Inside: The 24 Faces of Billy Milligan: Limited Series,Yes,2021-09-22,6.500.000
1382,Reflection of You: Season 1 // __ __ __: __ 1,Yes,2021-10-13,6.500.000
1383,The 7 Lives of Lea: Limited Series // Les 7 vies de La: Mini-srie,Yes,2022-04-28,6.500.000
1384,The Gentlemen's League: 2023 // ___ __: 2023,Yes,,6.500.000
1385,The Magic School Bus Rides Again: Season 1,Yes,2017-09-29,6.500.000
1386,The Midnight Gospel: Season 1,Yes,2020-04-20,6.500.000
1387,The Woods: Season 1 // W g__bi lasu: Sezon 1,Yes,2020-06-12,6.500.000
1388,Trailer Park Boys: Season 10,Yes,2016-03-28,6.500.000
1389,When My Love Blooms: Season 1 // ____ - __ __ __ __: __1,Yes,,6.500.000
1390,After Life: Season 2,Yes,2020-04-24,6.400.000
1391,All Day and a Night,Yes,2020-05-01,6.400.000
1392,Creeped Out: Season 2,Yes,2019-10-04,6.400.000
1393,Derry Girls: Season 1,Yes,2018-12-21,6.400.000
1394,Double Dad // Pai Em Dobro,Yes,2021-01-15,6.400.000
1395,Fear Street Part 2: 1978,Yes,2021-07-09,6.400.000
1396,Gabriel Iglesias: Stadium Fluffy,Yes,2022-10-18,6.400.000
1397,Get Organized with The Home Edit: Season 2,Yes,2022-04-01,6.400.000
1398,Glitch Techs: Season 1,Yes,2020-02-21,6.400.000
1399,The Bombardment // Skyggen i mit ¿je,Yes,2022-03-09,6.400.000
1400,The Defeated: Season 1,Yes,2021-08-18,6.400.000
1401,The Kingdom: Season 1 // El Reino: Temporada 1,Yes,2021-08-12,6.400.000
1402,The Sound of Magic: Limited Series // _______: ____ ___,Yes,2022-05-06,6.400.000
1403,The Woman in the Window,Yes,2021-05-14,6.400.000
1404,There's Someone Inside Your House,Yes,2021-10-06,6.400.000
1405,Trailer Park Boys: Season 9,Yes,2015-03-26,6.400.000
1406,44 Cats: Season 1,Yes,,6.300.000
1407,Control Z: Season 3,Yes,2022-07-06,6.300.000
1408,Dangerous Liaisons // Les Liaisons dangereuses,Yes,2022-07-08,6.300.000
1409,Furioza,Yes,2022-04-01,6.300.000
1410,Greenhouse Academy: Season 2,Yes,2018-02-14,6.300.000
1411,Greenleaf: Season 3,Yes,2018-11-22,6.300.000
1412,Holidate,Yes,2020-10-28,6.300.000
1413,I Used to Be Famous,Yes,2022-09-16,6.300.000
1414,Luna Nera: Season 1,Yes,2020-01-31,6.300.000
1415,Muscles & Mayhem: An Unauthorized Story of American Gladiators: Limited Series,Yes,2023-06-28,6.300.000
1416,Point Blank,Yes,2019-07-12,6.300.000
1417,The Hollow: Season 1,Yes,2018-06-08,6.300.000
1418,The Lost Patient // Le patient,Yes,2022-11-25,6.300.000
1419,Tobot Galaxy Detectives: Season 1 // __ V: __1,Yes,,6.300.000
1420,Who Killed Sara?: Season 3 // ÀQuin mat a Sara?: Temporada 3,Yes,2022-05-18,6.300.000
1421,72 Dangerous Places to Live: Season 1,Yes,,6.200.000
1422,A Babysitter's Guide to Monster Hunting,Yes,2020-10-15,6.200.000
1423,Death Note,Yes,2017-08-25,6.200.000
1424,F is for Family: Season 3,Yes,2018-11-30,6.200.000
1425,Inhuman Resources: Limited Series // Drapages: Mini-srie,Yes,2020-05-15,6.200.000
1426,Partners in Crime (Philippines Movie),Yes,,6.200.000
1427,Sintonia: Season 3,Yes,2022-07-13,6.200.000
1428,The Circle: Season 2,Yes,2021-04-14,6.200.000
1429,The Dragon Prince: Season 4,Yes,2022-11-03,6.200.000
1430,The Way of the Househusband: Season 1 // ____: ____1,Yes,2021-04-08,6.200.000
1431,To the Bone,Yes,2017-07-14,6.200.000
1432,Ultimate Beastmaster: Survival of the Fittest,Yes,2018-08-31,6.200.000
1433,Valley of the Dead // Malnazidos,Yes,2022-07-11,6.200.000
1434,"Young, Famous & African: Season 1",Yes,2022-03-18,6.200.000
1435,Airplane Mode // Modo Avio,Yes,2020-01-22,6.100.000
1436,Along for the Ride,Yes,2022-05-06,6.100.000
1437,Bee and PuppyCat: Part 1,Yes,2022-09-06,6.100.000
1438,D.P.: Season 1,Yes,2021-08-27,6.100.000
1439,Hilda: Season 1,Yes,2018-09-21,6.100.000
1440,I Just Killed My Dad: Limited Series,Yes,2022-08-09,6.100.000
1441,Incantation // _,Yes,2022-07-08,6.100.000
1442,Mad for Each Other: Season 1 // _ ___ __ X: __ 1,Yes,2021-05-24,6.100.000
1443,Marriage Story,Yes,2019-12-06,6.100.000
1444,Mighty Express: Season 7,Yes,2022-08-29,6.100.000
1445,Mystic Pop-up Bar: Season 1 // ____: __ 1,Yes,2020-05-20,6.100.000
1446,Snowflake Mountain: Season 1,Yes,2022-06-22,6.100.000
1447,The Protector: Season 4 // Hakan: Muhafõz: 4. Sezon,Yes,2020-07-09,6.100.000
1448,Too Old for Fairy Tales // Za du_y naÊbajki,Yes,2022-07-18,6.100.000
1449,Trailer Park Boys: Season 11,Yes,2017-03-31,6.100.000
1450,A Whisker Away // ___________,Yes,2020-06-18,6.000.000
1451,Barbie Epic Road Trip,Yes,2022-10-25,6.000.000
1452,Beckett,Yes,2021-08-13,6.000.000
1453,Big Tree City: Season 1,Yes,2022-08-01,6.000.000
1454,Brotherhood: Season 2 // Irmandade: Temporada 2,Yes,2022-05-11,6.000.000
1455,DJ Cinderella // Cinderela Pop,Yes,2019-06-14,6.000.000
1456,Go! Go! Cory Carson: Season 6,Yes,2021-10-21,6.000.000
1457,Larva: Season 2,Yes,,6.000.000
1458,Meltdown: Three Mile Island: Limited Series,Yes,2022-05-04,6.000.000
1459,No Good Nick: Part 2,Yes,2019-08-05,6.000.000
1460,One Day at a Time: Season 3,Yes,2019-02-08,6.000.000
1461,Recurrence // Pipa,Yes,2022-07-27,6.000.000
1462,Rise of the Teenage Mutant Ninja Turtles: The Movie,Yes,2022-08-05,6.000.000
1463,Sunny Bunnies: Season 6,Yes,,6.000.000
1464,The Boss Baby: Christmas Bonus,Yes,2022-12-06,6.000.000
1465,The Larva Island Movie,Yes,2020-07-23,6.000.000
1466,The Princess Switch,Yes,2018-11-16,6.000.000
1467,Yaksha: Ruthless Operations // __,Yes,2022-04-08,6.000.000
1468,3Below: Tales of Arcadia: Part 2,Yes,2019-07-12,5.900.000
1469,Cable Girls: Season 3 // Las chicas del cable: Temporada 3,Yes,2018-09-07,5.900.000
1470,Carmen Sandiego: Season 1,Yes,2019-01-18,5.900.000
1471,Castlevania: Season 3,Yes,2020-03-05,5.900.000
1472,Choose or Die,Yes,2022-04-15,5.900.000
1473,Creeped Out: Season 1,Yes,2018-10-04,5.900.000
1474,F is for Family: Season 4,Yes,2020-06-12,5.900.000
1475,Good Morning Call: Season 1 // ____________: ____1,Yes,2016-02-11,5.900.000
1476,"Good Morning, Vernica: Season 2 // Bom Dia, Vernica: Temporada 2",Yes,2022-08-03,5.900.000
1477,Jaguar: Season 1,Yes,2021-09-22,5.900.000
1478,Ludik: Season 1,Yes,2022-08-26,5.900.000
1479,Night Stalker: The Hunt for a Serial Killer: Limited Series,Yes,2021-01-13,5.900.000
1480,The Circle: Season 4,Yes,2022-05-04,5.900.000
1481,The Healing Powers of Dude: Season 1,Yes,2020-01-13,5.900.000
1482,Trailer Park Boys: Season 12,Yes,2018-03-30,5.900.000
1483,Tribes of Europa: Season 1,Yes,2021-02-19,5.900.000
1484,Wine Country,Yes,2019-05-10,5.900.000
1485,YouÕre Nothing Special: Season 1 // T no eres especial: Season 1,Yes,2022-09-02,5.900.000
1486,Absurd Planet: Season 1,Yes,2020-04-22,5.800.000
1487,After Life: Season 3,Yes,2022-01-14,5.800.000
1488,Deadwind: Season 3 // Karppi: Kausi 3,Yes,2022-05-15,5.800.000
1489,"Designated Survivor: 60 Days: Season 1 // 60_, _____: __ 1",Yes,2019-07-01,5.800.000
1490,Fistful of Vengeance,Yes,2022-02-17,5.800.000
1491,I Think You Should Leave with Tim Robinson: Season 3,Yes,2023-05-30,5.800.000
1492,Jim Jefferies: High & Dry,Yes,2023-02-14,5.800.000
1493,Labyu With An Accent,Yes,,5.800.000
1494,Pieces of a Woman,Yes,2021-01-07,5.800.000
1495,Puffin Rock: Season 2,Yes,2016-08-17,5.800.000
1496,Risqu Business: Japan: Season 1 // _+__: __ _: __ 1,Yes,2023-04-25,5.800.000
1497,Roman Empire: Caligula: The Mad Emperor,Yes,2019-04-05,5.800.000
1498,Somebody Feed Phil: Season 6,Yes,2022-10-18,5.800.000
1499,The Circle: Season 3,Yes,2021-09-08,5.800.000
1500,The Father Who Moves Mountains // Tata Mut_ Mun_ii,Yes,2021-09-17,5.800.000
1501,The Marriage App // Matrimillas,Yes,2022-12-07,5.800.000
1502,Time to Hunt // ___ __,Yes,2020-04-23,5.800.000
1503,Trailer Park Boys: Season 2,Yes,2010-09-22,5.800.000
1504,Young Wallander: Season 1,Yes,2020-09-03,5.800.000
1505,Anonymously Yours // Annima,Yes,2021-12-10,5.700.000
1506,Benji,Yes,2018-03-16,5.700.000
1507,Biohackers: Season 1,Yes,2020-08-20,5.700.000
